2016-06-24 16:19:05 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:10 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:21 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:32 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:37 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:42 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:19:54 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:20:42 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:21:01 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:21:41 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:21:51 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:22:25 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:23:21 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:24:03 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:24:17 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
